,codeBlockId,codeBlock_start,codeBlock_end,codeBlock_fileinfo,codeblock_Code,tokens,codeCloneBlockId,codeCloneBlock_Fileinfo,Similarity_Tokens,Similarity_Variable_Flow,Similarity_MethodCall_Flow,nloc,change_type,Revision,datetime
10,CodeBlock21,44,63,OptionPane.java,"['String getName();', '', '', '', '', 'Component getComponent();', '', '', '', '', 'void init();', '', '', '', '', '', '', 'void save();', '}', '']","{'String': 1, 'getName': 1, 'TOKEN_VARIABLE': 1, 'getComponent': 1, 'void': 2, 'init': 1, 'save': 1}",CodeBlock22,OptionPane.java,0.75,1.0,0.6666666666666666,9,ModificationType.ADD,1,2022-10-18 01:15:38.148139
11,CodeBlock22,49,63,OptionPane.java,"['Component getComponent();', '', '', '', '', 'void init();', '', '', '', '', '', '', 'void save();', '}', '']","{'TOKEN_VARIABLE': 1, 'getComponent': 1, 'void': 2, 'init': 1, 'save': 1}",CodeBlock21,OptionPane.java,0.75,1.0,0.6666666666666666,9,ModificationType.ADD,1,2022-10-18 01:15:38.148139
12,CodeBlock26,41,57,BSHIfStatement.java,"['    public Object eval(CallStack callstack, Interpreter interpreter)  ', 'throws EvalError', '    {', '        Object ret = null;', '', '        if( evaluateCondition( ', '(SimpleNode)jjtGetChild(0), callstack, interpreter ) )', '            ret = ((SimpleNode)jjtGetChild(1)).eval(callstack, interpreter);', '        else { ', '            if(jjtGetNumChildren() > 2)', '                ret = ((SimpleNode)jjtGetChild(2)).eval(callstack, interpreter); } ', '', '        if(ret instanceof ReturnControl)', '            return ret;', '        else     { ', '            return Primitive.VOID; } ', '    }']","{'public': 1, 'TOKEN_VARIABLE': 26, 'eval': 3, 'throws': 1, 'if': 3, 'evaluateCondition': 1, 'jjtGetChild': 3, 'INTEGER_LITERAL': 4, 'jjtGetNumChildren': 1, 'instanceof': 1, 'return': 2}",CodeBlock33,BSHTernaryExpression.java,0.782608695652174,0.625,0.6666666666666666,38,ModificationType.ADD,1,2022-10-18 01:15:38.148139
13,CodeBlock29,43,53,BSHReturnStatement.java,"['public Object eval(CallStack callstack, Interpreter interpreter)  ', 'throws EvalError', '{', 'Object value;', 'if(jjtGetNumChildren() > 0)', 'value = ((SimpleNode)jjtGetChild(0)).eval(callstack, interpreter);', 'else { ', 'value = Primitive.VOID; } ', '', 'return new ReturnControl( kind, value, this );', '}']","{'public': 1, 'TOKEN_VARIABLE': 17, 'eval': 2, 'throws': 1, 'if': 1, 'jjtGetNumChildren': 1, 'INTEGER_LITERAL': 2, 'jjtGetChild': 1, 'return': 1, 'new': 1, 'ReturnControl': 1, 'this': 1}",CodeBlock32,BSHStatementExpressionList.java,0.7428571428571429,0.8571428571428571,0.6666666666666666,16,ModificationType.ADD,1,2022-10-18 01:15:38.148139
14,CodeBlock32,41,51,BSHStatementExpressionList.java,"['public Object eval(CallStack callstack, Interpreter interpreter)  ', 'throws EvalError', '{', 'int n = jjtGetNumChildren();', 'for(int i=0; i<n; i++)', '{', 'SimpleNode node = ((SimpleNode)jjtGetChild(i));', 'node.eval(callstack, interpreter);', '}', 'return Primitive.VOID;', '}']","{'public': 1, 'TOKEN_VARIABLE': 18, 'eval': 2, 'throws': 1, 'int': 2, 'jjtGetNumChildren': 1, 'for': 1, 'INTEGER_LITERAL': 3, 'jjtGetChild': 1, 'return': 1}",CodeBlock29,BSHReturnStatement.java,0.7428571428571429,0.8571428571428571,0.6666666666666666,16,ModificationType.ADD,1,2022-10-18 01:15:38.148139
15,CodeBlock33,46,58,BSHTernaryExpression.java,"['    public Object eval( CallStack callstack, Interpreter interpreter) ', 'throws EvalError', '    {', '        SimpleNode', 'cond = (SimpleNode)jjtGetChild(0),', 'evalTrue = (SimpleNode)jjtGetChild(1),', 'evalFalse = (SimpleNode)jjtGetChild(2);', '', 'if ( BSHIfStatement.evaluateCondition( cond, callstack, interpreter ) ) { ', 'return evalTrue.eval( callstack, interpreter ); } ', 'else { ', 'return evalFalse.eval( callstack, interpreter ); } ', '    }']","{'public': 1, 'TOKEN_VARIABLE': 21, 'eval': 3, 'throws': 1, 'jjtGetChild': 3, 'INTEGER_LITERAL': 3, 'if': 1, 'evaluateCondition': 1, 'return': 2}",CodeBlock26,BSHIfStatement.java,0.782608695652174,0.625,0.6666666666666666,16,ModificationType.ADD,1,2022-10-18 01:15:38.148139
16,CodeBlock41,10,24,ClassGenerator.java,"['public static ClassGenerator getClassGenerator() ', 'throws UtilEvalError', '{', 'if ( cg == null ) ', '{', 'try {', 'Class clas = Class.forName( ""org.gjt.sp.jedit.bsh.ClassGeneratorImpl"" );', 'cg = (ClassGenerator)clas.newInstance();', '} catch ( Exception e ) {', 'throw new Unavailable(""ClassGenerator unavailable: ""+e);', '}', '}', '', 'return cg;', '}']","{'public': 1, 'static': 1, 'TOKEN_VARIABLE': 12, 'getClassGenerator': 1, 'throws': 1, 'if': 1, 'try': 1, 'forName': 1, 'STRING_LITERAL': 2, 'newInstance': 1, 'catch': 1, 'throw': 1, 'new': 1, 'Unavailable': 1, 'INTEGER_LITERAL': 1, 'return': 1}",CodeBlock107,ReflectManager.java,0.9,0.6,1.0,33,ModificationType.ADD,1,2022-10-18 01:15:38.148139
17,CodeBlock45,47,55,ConsoleInterface.java,"['    public Reader getIn();', '    public PrintStream getOut();', '    public PrintStream getErr();', '    public void println( Object o );', '    public void print( Object o );', '    public void error( Object o );', '}', '', '']","{'public': 6, 'TOKEN_VARIABLE': 9, 'getIn': 1, 'getOut': 1, 'getErr': 1, 'void': 3, 'println': 1, 'print': 1, 'error': 1}",CodeBlock46,ConsoleInterface.java,0.875,0.6666666666666666,0.75,10,ModificationType.ADD,1,2022-10-18 01:15:38.148139
18,CodeBlock45,47,55,ConsoleInterface.java,"['    public Reader getIn();', '    public PrintStream getOut();', '    public PrintStream getErr();', '    public void println( Object o );', '    public void print( Object o );', '    public void error( Object o );', '}', '', '']","{'public': 6, 'TOKEN_VARIABLE': 9, 'getIn': 1, 'getOut': 1, 'getErr': 1, 'void': 3, 'println': 1, 'print': 1, 'error': 1}",CodeBlock47,ConsoleInterface.java,0.75,0.6666666666666666,0.75,10,ModificationType.ADD,1,2022-10-18 01:15:38.148139
19,CodeBlock46,48,55,ConsoleInterface.java,"['    public PrintStream getOut();', '    public PrintStream getErr();', '    public void println( Object o );', '    public void print( Object o );', '    public void error( Object o );', '}', '', '']","{'public': 5, 'TOKEN_VARIABLE': 8, 'getOut': 1, 'getErr': 1, 'void': 3, 'println': 1, 'print': 1, 'error': 1}",CodeBlock45,ConsoleInterface.java,0.875,0.6666666666666666,0.75,10,ModificationType.ADD,1,2022-10-18 01:15:38.148139
